IdHotel,NombreHotel,Direccion,NumeroTelefono,CorreoElectronico,SitioWeb,Descripcion,ClasificacionEstrellas,Provincia,Ciudad,Ubicacion,CostoNoche
71,Hotel CCC,9,859-793-1975,bbruyett1e@cbc.ca,www\.s+\.com,Charming countryside inn,1,Limon,Bella Vista,ciudad,825.00
72,Hotel KKK,1,789-567-0575,pbowring1f@ehow.com,www\.t+\.com,Charming countryside inn,4,Limon,La Fortuna,ciudad,550.00
73,Hotel M,59,393-960-9342,egregory1g@ucsd.edu,www\.w+\.com,Historic downtown hotel,4,Limon,Tamarindo,ciudad,540.00
74,Hotel L,939,213-293-6520,vfarndon1h@163.com,www\.q+\.com,Charming countryside inn,2,Alajuela,La Fortuna,ciudad,945.00
75,Hotel SS,952,425-198-7456,dlabrone1i@google.ca,www\.l+\.com,Modern city center hotel,5,Puntarenas,La Fortuna,ciudad,984.00
76,Hotel AAA,65,871-119-4144,sskillington1j@behance.net,www\.b+\.com,Modern city center hotel,4,Guanacaste,Tamarindo,ciudad,303.00
77,Hotel GG,87,480-976-3885,djzhakov1k@virginia.edu,www\.C+\.com,Historic downtown hotel,2,Guanacaste,Liberia,ciudad,513.00
78,Hotel KK,767,868-100-4232,hrainbow1l@over-blog.com,www\.u+\.com,Luxurious beachfront resort,0,San Jose,Liberia,ciudad,219.00
79,Hotel PP,955,253-905-1500,aharner1m@nba.com,www\.1+\.com,Luxurious beachfront resort,4,Limon,Liberia,ciudad,817.00
80,Hotel MM,98,,ahowsin1n@who.int,www\.N+\.com,Modern city center hotel,4,Alajuela,Manuel Antonio,ciudad,772.00
81,Hotel MMM,69612,710-698-3814,olinner1o@t.co,www\.G+\.com,Cozy boutique hotel,5,Alajuela,Tamarindo,ciudad,928.00
82,Hotel LLL,086,425-387-4653,kbarclay1p@wisc.edu,www\.F+\.com,Cozy boutique hotel,1,Heredia,Tamarindo,ciudad,900.00
83,Hotel YYY,2,405-352-0077,ddeluce1q@howstuffworks.com,www\.I+\.com,Historic downtown hotel,3,Alajuela,Bella Vista,ciudad,689.00
84,Hotel C,1662,626-481-0411,jsnodden1r@who.int,www\.M+\.com,Charming countryside inn,2,Heredia,Bella Vista,ciudad,336.00
85,Hotel GGG,59,902-171-3846,ablois1s@ehow.com,www\.1+\.com,Charming countryside inn,1,Limon,La Fortuna,ciudad,807.00
86,Hotel O,93,123-385-8601,mpaynes1t@seattletimes.com,www\.W+\.com,Charming countryside inn,4,Guanacaste,Liberia,ciudad,882.00
87,Hotel W,6975,921-901-6966,ypawden1u@walmart.com,www\.m+\.com,Luxurious beachfront resort,4,Puntarenas,Bella Vista,ciudad,663.00
88,Hotel CCC,5,683-314-0508,alillegard1v@archive.org,www\.n+\.com,Cozy boutique hotel,2,Cartago,Bella Vista,ciudad,157.00
89,Hotel AAA,4,920-194-5470,ibratchell1w@wisc.edu,www\.g+\.com,Luxurious beachfront resort,4,Limon,Liberia,ciudad,308.00
90,Hotel QQ,763,875-477-9345,acowherd1x@cdbaby.com,www\.t+\.com,Charming countryside inn,1,Limon,Manuel Antonio,ciudad,832.00
91,Hotel III,471,360-243-4866,erisely1y@google.es,www\.X+\.com,Historic downtown hotel,4,Limon,Tamarindo,ciudad,987.00
92,Hotel Q,98866,138-210-1467,sjoust1z@blogtalkradio.com,www\.6+\.com,Luxurious beachfront resort,4,Guanacaste,Liberia,ciudad,660.00
93,Hotel UU,20463,245-805-9777,jthreadgill20@independent.co.uk,www\.c+\.com,Historic downtown hotel,0,Cartago,Tamarindo,ciudad,941.00
94,Hotel YYY,79333,772-794-5936,bfellow21@adobe.com,www\.U+\.com,Charming countryside inn,4,Puntarenas,Tamarindo,ciudad,269.00
95,Hotel ZZ,4,839-532-6223,fgaize22@gov.uk,www\.4+\.com,Historic downtown hotel,5,Heredia,La Fortuna,ciudad,975.00
96,Hotel LL,23,902-245-5970,bpre23@unesco.org,www\.p+\.com,Charming countryside inn,2,Puntarenas,Bella Vista,ciudad,300.00
97,Hotel S,9561,636-771-9918,sbaish24@51.la,www\.n+\.com,Luxurious beachfront resort,5,Puntarenas,La Fortuna,playa,469.00
98,Hotel CC,43,141-123-7255,aespinosa25@google.co.jp,www\.0+\.com,Charming countryside inn,3,Limon,Bella Vista,montana,664.00
99,Hotel VV,07920,573-137-2887,gavramovitz26@cbc.ca,www\.D+\.com,Luxurious beachfront resort,5,Puntarenas,Bella Vista,playa,639.00
100,Hotel C,8,294-508-8737,mplacide27@nytimes.com,www\.T+\.com,Modern city center hotel,2,Puntarenas,Tamarindo,playa,897.00
101,Hotel HHH,35386,674-527-3747,rrestorick28@gmpg.org,www\.n+\.com,Luxurious beachfront resort,2,Alajuela,Liberia,playa,750.00
102,Hotel Q,7768,954-764-9972,tdullingham29@mit.edu,www\.y+\.com,Modern city center hotel,5,Heredia,La Fortuna,montana,812.00
103,Hotel JJ,01,708-414-3191,tdonavan2a@godaddy.com,www\.D+\.com,Luxurious beachfront resort,4,Heredia,Bella Vista,playa,173.00
104,Hotel C,95857,499-679-6953,idrejer2b@indiatimes.com,www\.V+\.com,Historic downtown hotel,1,Puntarenas,La Fortuna,playa,402.00
105,Hotel BBB,02727,475-358-8839,dwemes2c@huffingtonpost.com,www\.d+\.com,Luxurious beachfront resort,3,Guanacaste,Tamarindo,montana,883.00
106,Hotel J,33,410-236-2805,lattrill2d@archive.org,www\.2+\.com,Modern city center hotel,1,Cartago,Manuel Antonio,montana,383.00
107,Hotel SS,50,836-119-1131,ahadley2e@ox.ac.uk,www\.m+\.com,Historic downtown hotel,3,Guanacaste,Liberia,montana,629.00
108,Hotel TT,7,184-971-5406,mpumfrey2f@ft.com,www\.R+\.com,Cozy boutique hotel,4,Cartago,Manuel Antonio,playa,168.00
109,Hotel CCC,99,540-633-1843,slanphere2g@huffingtonpost.com,www\.a+\.com,Cozy boutique hotel,4,Heredia,Liberia,playa,604.00
110,Hotel J,12,929-730-1370,rweatherup2h@free.fr,www\.e+\.com,Historic downtown hotel,1,Limon,Tamarindo,montana,779.00
111,Hotel VVV,83,976-811-9738,bjentle2i@microsoft.com,www\.4+\.com,Historic downtown hotel,5,Puntarenas,La Fortuna,montana,699.00
112,Hotel LL,7,319-528-8785,rclemon2j@wunderground.com,www\.8+\.com,Cozy boutique hotel,5,Puntarenas,Bella Vista,montana,559.00
113,Hotel MM,6927,894-461-4617,klatey2k@pen.io,www\.1+\.com,Modern city center hotel,2,Puntarenas,Manuel Antonio,playa,282.00
114,Hotel MMM,08,829-676-8995,awellesley2l@slate.com,www\.V+\.com,Charming countryside inn,2,Alajuela,Tamarindo,montana,301.00
115,Hotel B,349,896-570-3139,ecanner2m@freewebs.com,www\.5+\.com,Luxurious beachfront resort,4,Heredia,Bella Vista,montana,691.00
116,Hotel ZZ,3,614-234-8038,llargent2n@cornell.edu,www\.X+\.com,Cozy boutique hotel,2,Alajuela,Liberia,playa,595.00
117,Hotel CCC,5566,427-290-5294,amustill2o@time.com,www\.R+\.com,Luxurious beachfront resort,1,Heredia,La Fortuna,montana,209.00
118,Hotel DDD,33767,798-192-1142,gsummerrell2p@va.gov,www\.9+\.com,Luxurious beachfront resort,0,Guanacaste,La Fortuna,montana,677.00
119,Hotel LL,1,482-737-0382,tfrick2q@elpais.com,www\.a+\.com,Cozy boutique hotel,2,Puntarenas,Bella Vista,montana,847.00
120,Hotel FF,1,884-583-3678,sandraud2r@fastcompany.com,www\.j+\.com,Luxurious beachfront resort,1,Guanacaste,Bella Vista,montana,929.00
121,Hotel X,01779,583-386-3021,bgerrill2s@mozilla.org,www\.m+\.com,Historic downtown hotel,3,Cartago,Liberia,montana,704.00
122,Hotel OOO,3,,jvanyushin2t@ocn.ne.jp,www\.E+\.com,Historic downtown hotel,1,Puntarenas,Liberia,montana,777.00
123,Hotel TTT,011,147-566-1943,vlawlance2u@shareasale.com,www\.B+\.com,Cozy boutique hotel,5,Cartago,Tamarindo,montana,417.00
124,Hotel F,66184,509-229-0724,dlis2v@prlog.org,www\.A+\.com,Luxurious beachfront resort,4,Limon,La Fortuna,montana,375.00
125,Hotel WWW,272,,msettle2w@sun.com,www\.2+\.com,Historic downtown hotel,5,Alajuela,Liberia,playa,183.00
126,Hotel R,9101,400-413-7889,tmerwood2x@parallels.com,www\.1+\.com,Cozy boutique hotel,5,San Jose,Tamarindo,montana,288.00
127,Hotel BBB,6436,233-506-5989,pstollwerk2y@wikimedia.org,www\.W+\.com,Charming countryside inn,1,Puntarenas,Liberia,playa,639.00
128,Hotel NNN,8,505-892-6728,birwin2z@latimes.com,www\.6+\.com,Luxurious beachfront resort,2,Guanacaste,La Fortuna,playa,739.00
129,Hotel X,8132,522-963-6722,celliff30@china.com.cn,www\.4+\.com,Luxurious beachfront resort,2,Cartago,Liberia,playa,232.00
130,Hotel TT,924,910-135-7255,nsmitten31@cbsnews.com,www\.T+\.com,Modern city center hotel,4,Alajuela,Liberia,montana,283.00
131,Hotel CCC,4,657-362-9403,mwhapples32@spiegel.de,www\.i+\.com,Modern city center hotel,5,Puntarenas,Bella Vista,montana,992.00
132,Hotel YY,29942,843-164-1140,shazelton33@java.com,www\.3+\.com,Luxurious beachfront resort,5,Heredia,Tamarindo,playa,859.00
133,Hotel C,06620,260-208-0078,bmeeke34@engadget.com,www\.g+\.com,Charming countryside inn,1,Guanacaste,La Fortuna,montana,742.00
134,Hotel T,90108,430-111-9552,osharnock35@cdc.gov,www\.I+\.com,Modern city center hotel,2,Guanacaste,La Fortuna,playa,507.00
135,Hotel MM,9,518-396-1615,bsymcox36@sourceforge.net,www\.K+\.com,Luxurious beachfront resort,1,Puntarenas,Tamarindo,playa,852.00
136,Hotel DDD,0,967-428-4445,aberi37@census.gov,www\.7+\.com,Luxurious beachfront resort,2,Cartago,Bella Vista,playa,624.00
137,Hotel ZZ,26,781-269-8785,anoseworthy38@narod.ru,www\.6+\.com,Modern city center hotel,1,San Jose,La Fortuna,playa,714.00
138,Hotel J,3256,826-767-9032,bkeys39@aboutads.info,www\.Y+\.com,Cozy boutique hotel,5,Limon,La Fortuna,playa,453.00
139,Hotel ZZZ,779,,fkann3a@dyndns.org,www\.Q+\.com,Modern city center hotel,2,Alajuela,Tamarindo,playa,415.00
140,Hotel WWW,47054,562-149-8568,aashmole3b@g.co,www\.5+\.com,Historic downtown hotel,1,Limon,La Fortuna,montana,256.00
141,Hotel AA,237,185-978-5527,mlyford3c@seattletimes.com,www\.n+\.com,Cozy boutique hotel,2,Alajuela,Tamarindo,playa,885.00
142,Hotel YYY,42730,845-508-5025,bsanton3d@digg.com,www\.7+\.com,Modern city center hotel,4,San Jose,Tamarindo,montana,602.00
143,Hotel K,03,449-835-0336,owanjek3e@google.nl,www\.n+\.com,Modern city center hotel,2,Guanacaste,Liberia,montana,169.00
144,Hotel F,02,553-967-0161,xhanscom3f@senate.gov,www\.5+\.com,Charming countryside inn,1,San Jose,La Fortuna,montana,672.00
145,Hotel QQ,5,432-523-6262,smacvay3g@bloomberg.com,www\.x+\.com,Modern city center hotel,5,Cartago,Liberia,playa,710.00
146,Hotel TTT,446,460-436-1741,cburdell3h@tinypic.com,www\.9+\.com,Modern city center hotel,1,Puntarenas,Bella Vista,playa,762.00
147,Hotel OO,64047,614-790-8251,anorree3i@hexun.com,www\.f+\.com,Luxurious beachfront resort,0,Puntarenas,Tamarindo,montana,879.00
148,Hotel QQ,6,118-626-6443,mangrock3j@joomla.org,www\.L+\.com,Charming countryside inn,4,Heredia,Bella Vista,playa,546.00
149,Hotel RRR,43875,986-634-3608,lcamerello3k@goodreads.com,www\.u+\.com,Historic downtown hotel,1,Limon,Liberia,playa,231.00
150,Hotel FFF,928,318-287-5247,blettuce3l@gizmodo.com,www\.5+\.com,Cozy boutique hotel,5,Guanacaste,La Fortuna,montana,375.00
151,Hotel Z,142,431-391-6778,fjuszkiewicz3m@house.gov,www\.6+\.com,Luxurious beachfront resort,2,San Jose,Liberia,montana,555.00
152,Hotel GGG,8,169-799-2416,rdudek3n@wikipedia.org,www\.e+\.com,Modern city center hotel,2,Alajuela,Bella Vista,montana,264.00
153,Hotel U,22875,990-915-4788,cdello3o@amazon.co.uk,www\.V+\.com,Cozy boutique hotel,4,Puntarenas,La Fortuna,montana,531.00
154,Hotel R,08817,267-417-2509,sserver3p@pen.io,www\.D+\.com,Cozy boutique hotel,2,Guanacaste,Liberia,montana,869.00
155,Hotel E,79,560-737-7006,cmarval3q@sitemeter.com,www\.O+\.com,Modern city center hotel,4,Heredia,La Fortuna,playa,423.00
156,Hotel J,8226,561-863-7975,kbewley3r@wufoo.com,www\.u+\.com,Historic downtown hotel,3,Alajuela,Bella Vista,playa,384.00
157,Hotel WWW,70208,188-981-6902,rmetheringham3s@ucla.edu,www\.i+\.com,Luxurious beachfront resort,3,San Jose,Liberia,playa,974.00
158,Hotel SSS,846,883-142-3472,cosmond3t@google.co.uk,www\.l+\.com,Modern city center hotel,4,Heredia,Bella Vista,playa,536.00
159,Hotel QQQ,7,416-980-5970,jnorwich3u@prnewswire.com,www\.z+\.com,Luxurious beachfront resort,3,San Jose,Tamarindo,montana,414.00
160,Hotel YY,68016,839-683-7263,vpheazey3v@spiegel.de,www\.7+\.com,Historic downtown hotel,3,Alajuela,Manuel Antonio,playa,441.00
161,Hotel XXX,82432,771-381-4482,zdoghartie3w@omniture.com,www\.4+\.com,Cozy boutique hotel,5,Limon,Tamarindo,playa,801.00
162,Hotel FF,17074,111-185-8141,ilethlay3x@woothemes.com,www\.X+\.com,Charming countryside inn,5,Heredia,Bella Vista,playa,565.00
163,Hotel S,71,875-967-3369,wkordovani3y@youtu.be,www\.n+\.com,Luxurious beachfront resort,5,Limon,Manuel Antonio,montana,712.00
164,Hotel AAA,967,917-208-8750,hbalcon3z@desdev.cn,www\.O+\.com,Cozy boutique hotel,1,Puntarenas,Bella Vista,playa,895.00
165,Hotel GG,37179,183-463-3363,rscade40@psu.edu,www\.1+\.com,Charming countryside inn,5,Guanacaste,Manuel Antonio,playa,114.00
166,Hotel J,75,697-898-9622,mcousen41@posterous.com,www\.R+\.com,Luxurious beachfront resort,5,San Jose,La Fortuna,montana,673.00
167,Hotel BBB,08356,871-191-9353,rbirth42@ox.ac.uk,www\.5+\.com,Historic downtown hotel,0,Guanacaste,Tamarindo,playa,954.00
168,Hotel AA,95007,763-494-8451,rcastellone43@cbslocal.com,www\.P+\.com,Charming countryside inn,5,Guanacaste,Bella Vista,montana,479.00
169,Hotel T,83625,868-421-3839,ghallows44@eepurl.com,www\.Z+\.com,Luxurious beachfront resort,3,Puntarenas,La Fortuna,playa,190.00
170,Hotel Z,032,736-516-1068,tdevers45@weibo.com,www\.A+\.com,Luxurious beachfront resort,4,Guanacaste,Bella Vista,playa,480.00
171,Hotel SSS,8025,341-827-7612,dvondruska46@ustream.tv,www\.8+\.com,Cozy boutique hotel,4,Alajuela,Liberia,playa,199.00
172,Hotel XX,2454,285-619-6908,csandys47@nature.com,www\.q+\.com,Historic downtown hotel,3,Puntarenas,La Fortuna,montana,693.00
173,Hotel ZZ,150,992-537-2099,selsley48@joomla.org,www\.7+\.com,Luxurious beachfront resort,5,Cartago,Liberia,montana,778.00
174,Hotel QQ,470,855-747-4184,afransewich49@issuu.com,www\.7+\.com,Luxurious beachfront resort,1,Alajuela,Liberia,playa,350.00
175,Hotel DD,5153,956-625-9071,dbiaggioli4a@ucoz.com,www\.7+\.com,Luxurious beachfront resort,3,Cartago,Liberia,playa,455.00
176,Hotel U,05600,142-771-0979,jviel4b@parallels.com,www\.Q+\.com,Cozy boutique hotel,1,Cartago,Manuel Antonio,playa,565.00
177,Hotel X,148,819-692-9573,bsebborn4c@histats.com,www\.Q+\.com,Historic downtown hotel,0,Guanacaste,Liberia,playa,722.00
178,Hotel A,89,137-660-8540,pmousdall4d@about.me,www\.7+\.com,Historic downtown hotel,5,Puntarenas,Bella Vista,playa,305.00
179,Hotel H,599,248-663-0381,ralwell4e@springer.com,www\.6+\.com,Modern city center hotel,0,San Jose,Manuel Antonio,montana,287.00
180,Hotel UU,25822,451-465-0157,hmcconnulty4f@google.cn,www\.i+\.com,Historic downtown hotel,3,Puntarenas,Tamarindo,playa,503.00
181,Hotel XXX,762,661-476-1148,lonraet4g@columbia.edu,www\.S+\.com,Historic downtown hotel,2,Alajuela,Bella Vista,playa,386.00
182,Hotel Q,4279,856-203-0160,jcorsar4h@unesco.org,www\.5+\.com,Modern city center hotel,2,San Jose,Bella Vista,montana,828.00
183,Hotel FFF,2140,238-796-6534,irobinette4i@marketwatch.com,www\.T+\.com,Charming countryside inn,2,San Jose,Manuel Antonio,montana,966.00
184,Hotel QQQ,98611,206-675-7400,clally4j@studiopress.com,www\.J+\.com,Historic downtown hotel,5,Puntarenas,Liberia,montana,316.00
185,Hotel W,49017,108-876-1603,drihosek4k@microsoft.com,www\.j+\.com,Charming countryside inn,4,Heredia,Liberia,montana,858.00
186,Hotel I,73999,498-585-4849,gpumphrey4l@wired.com,www\.8+\.com,Historic downtown hotel,1,Heredia,Liberia,montana,304.00
187,Hotel AA,14,184-102-8551,lespina4m@123-reg.co.uk,www\.p+\.com,Cozy boutique hotel,2,Puntarenas,Manuel Antonio,montana,431.00
188,Hotel RR,62,652-147-0275,zhabbema4n@wufoo.com,www\.Y+\.com,Cozy boutique hotel,2,Alajuela,Bella Vista,playa,349.00
189,Hotel M,43615,546-291-2594,cbeckhouse4o@sakura.ne.jp,www\.0+\.com,Modern city center hotel,1,Cartago,Tamarindo,montana,181.00
190,Hotel W,29103,682-286-7498,lcohr4p@behance.net,www\.5+\.com,Charming countryside inn,0,San Jose,Bella Vista,montana,633.00
191,Hotel JJ,16878,965-153-3589,cburbudge4q@issuu.com,www\.2+\.com,Modern city center hotel,1,Limon,La Fortuna,playa,904.00
192,Hotel SS,7,769-204-2593,cdown4r@webnode.com,www\.3+\.com,Historic downtown hotel,4,Puntarenas,Tamarindo,playa,974.00
193,Hotel K,6,166-179-9707,aaspenlon4s@diigo.com,www\.H+\.com,Modern city center hotel,5,Heredia,La Fortuna,playa,851.00
194,Hotel T,06,307-210-7616,cwren4t@japanpost.jp,www\.j+\.com,Modern city center hotel,4,San Jose,Tamarindo,montana,852.00
195,Hotel YY,68026,726-383-6136,eprati4u@amazon.co.uk,www\.m+\.com,Luxurious beachfront resort,3,Cartago,Bella Vista,montana,937.00
196,Hotel G,44123,269-754-8629,kcaselli4v@upenn.edu,www\.V+\.com,Luxurious beachfront resort,3,Cartago,Tamarindo,playa,160.00
197,Hotel CC,1,234-711-1115,gfleisch4w@printfriendly.com,www\.h+\.com,Historic downtown hotel,4,Cartago,Liberia,playa,790.00
198,Hotel OO,23956,567-558-3356,asharpe4x@unblog.fr,www\.M+\.com,Luxurious beachfront resort,5,Guanacaste,Bella Vista,montana,524.00
199,Hotel S,1,959-519-7004,nmerwood4y@wsj.com,www\.7+\.com,Historic downtown hotel,5,Cartago,Bella Vista,montana,826.00
200,Hotel Q,8147,351-294-8272,cbelham4z@blogtalkradio.com,www\.9+\.com,Charming countryside inn,5,San Jose,La Fortuna,playa,722.00
201,Hotel YY,2083,984-525-1583,vwillets50@cargocollective.com,www\.Q+\.com,Charming countryside inn,3,Limon,Liberia,playa,813.00
202,Hotel CCC,6903,842-801-6064,kbliben51@flavors.me,www\.I+\.com,Luxurious beachfront resort,5,Guanacaste,Tamarindo,playa,978.00
203,Hotel SS,95,178-539-5022,kchallens52@skyrock.com,www\.K+\.com,Historic downtown hotel,5,Guanacaste,Manuel Antonio,playa,265.00
204,Hotel HHH,124,897-469-7378,rtaffarello53@toplist.cz,www\.z+\.com,Modern city center hotel,5,Guanacaste,Liberia,playa,448.00
205,Hotel K,9,771-295-2764,snowlan54@lulu.com,www\.L+\.com,Charming countryside inn,3,Puntarenas,Tamarindo,montana,741.00
206,Hotel BBB,46577,277-889-4836,lmaccarrick55@vistaprint.com,www\.g+\.com,Historic downtown hotel,1,San Jose,Tamarindo,playa,845.00
207,Hotel III,700,339-613-5732,ilambertson56@state.gov,www\.n+\.com,Modern city center hotel,4,Limon,Bella Vista,montana,211.00
